compound	Species	V1	Var	Mean	VarShare
C05635	4424327	591693882.713313	239997234040.518	581240.601049563	0.0024654195915167
C05635	4425571	0	239997234040.518	581240.601049563	0
C05635	4426877	0	239997234040.518	581240.601049563	0
C05635	4428313	0	239997234040.518	581240.601049563	0
C05635	4430498	-47756604.6446131	239997234040.518	581240.601049563	-0.000198988145990676
C05635	4432234	0	239997234040.518	581240.601049563	0
C05635	4432238	0	239997234040.518	581240.601049563	0
C05635	4432841	87493463870.9126	239997234040.518	581240.601049563	0.364560300958057
C05635	4433947	0	239997234040.518	581240.601049563	0
C05635	4435934	-312488570.882915	239997234040.518	581240.601049563	-0.00130205071792685
C05635	443620	-187881702.231971	239997234040.518	581240.601049563	-0.000782849448174271
C05635	4437875	236560381.195847	239997234040.518	581240.601049563	0.000985679614773848
C05635	4439360	0	239997234040.518	581240.601049563	0
C05635	4440360	0	239997234040.518	581240.601049563	0
C05635	4440624	0	239997234040.518	581240.601049563	0
C05635	4440970	-396512089.910061	239997234040.518	581240.601049563	-0.00165215274874009
C05635	4442899	0	239997234040.518	581240.601049563	0
C05635	4443094	0	239997234040.518	581240.601049563	0
C05635	4444771	2413626167.28025	239997234040.518	581240.601049563	0.0100568916009789
C05635	4446898	0	239997234040.518	581240.601049563	0
C05635	4447176	0	239997234040.518	581240.601049563	0
C05635	4448052	1485046996.21497	239997234040.518	581240.601049563	0.00618776713053389
C05635	4449236	-57051838.5573562	239997234040.518	581240.601049563	-0.000237718733657256
C05635	4449518	0	239997234040.518	581240.601049563	0
C05635	4449524	0	239997234040.518	581240.601049563	0
C05635	4449526	0	239997234040.518	581240.601049563	0
C05635	4449633	0	239997234040.518	581240.601049563	0
C05635	4449851	0	239997234040.518	581240.601049563	0
C05635	4449984	1209594406.06821	239997234040.518	581240.601049563	0.00504003477750078
C05635	4451901	146646055.491489	239997234040.518	581240.601049563	0.00061103227325833
C05635	4452613	-79374895.4394215	239997234040.518	581240.601049563	-0.000330732542634307
C05635	4453627	0	239997234040.518	581240.601049563	0
C05635	4453723	0	239997234040.518	581240.601049563	0
C05635	4454025	0	239997234040.518	581240.601049563	0
C05635	4455677	0	239997234040.518	581240.601049563	0
C05635	4456605	0	239997234040.518	581240.601049563	0
C05635	4459184	0	239997234040.518	581240.601049563	0
C05635	4460560	0	239997234040.518	581240.601049563	0
C05635	4460604	19808425324.8343	239997234040.518	581240.601049563	0.0825360567342627
C05635	446135	254528750.845237	239997234040.518	581240.601049563	0.00106054868449969
C05635	4462541	-4053344084.13208	239997234040.518	581240.601049563	-0.0168891283282363
C05635	4463108	0	239997234040.518	581240.601049563	0
C05635	4464113	2472242310.96002	239997234040.518	581240.601049563	0.0103011283477652
C05635	4464787	1796305463.58463	239997234040.518	581240.601049563	0.00748469235808511
C05635	4467447	0	239997234040.518	581240.601049563	0
C05635	4471135	0	239997234040.518	581240.601049563	0
C05635	4471525	0	239997234040.518	581240.601049563	0
C05635	4475886	169591210.549651	239997234040.518	581240.601049563	0.000706638187842696
C05635	4476330	0	239997234040.518	581240.601049563	0
C05635	4476780	38057188111.0508	239997234040.518	581240.601049563	0.158573444661557
C05635	4480176	0	239997234040.518	581240.601049563	0
C05635	4480555	0	239997234040.518	581240.601049563	0
C05635	4480557	0	239997234040.518	581240.601049563	0
C05635	4481359	0	239997234040.518	581240.601049563	0
C05635	4481506	58138185047.0999	239997234040.518	581240.601049563	0.242245229531623
C05635	4483570	23096149.7610978	239997234040.518	581240.601049563	9.62350664308013e-05
C05635	4483585	-121079632.390358	239997234040.518	581240.601049563	-0.000504504282619841
C05635	449353	0	239997234040.518	581240.601049563	0
C00431	4402042	0	428286034448.003	152193.798256538	0
C00431	4402077	0	428286034448.003	152193.798256538	0
C00431	4403349	0	428286034448.003	152193.798256538	0
C00431	4405128	0	428286034448.003	152193.798256538	0
C00431	4407190	0	428286034448.003	152193.798256538	0
C00431	4407703	0	428286034448.003	152193.798256538	0
C00431	440840	0	428286034448.003	152193.798256538	0
C00431	4409730	214143017224.002	428286034448.003	152193.798256538	0.5
C00431	4410988	0	428286034448.003	152193.798256538	0
C00431	441494	0	428286034448.003	152193.798256538	0
