SimRun	TimePoint	Species	Code	value
3	577	DpigerAGORA	Dp	0.0002221718
4	577	DpigerAGORA	Dp	0.0002128829
5	577	DpigerAGORA	Dp	0.0002037464
6	577	DpigerAGORA	Dp	0.0001865014
7	577	DpigerAGORA	Dp	0.0001681416
8	577	DpigerAGORA	Dp	0.0002125496
9	577	DpigerAGORA	Dp	0.0001961017
10	577	DpigerAGORA	Dp	0.0001761721
11	577	DpigerAGORA	Dp	0.000160321
12	577	DpigerAGORA	Dp	0.0001365433
13	577	DpigerAGORA	Dp	0.0001147421
14	577	DpigerAGORA	Dp	0.0004127092
15	577	DpigerAGORA	Dp	0.0005584991
16	577	DpigerAGORA	Dp	0.0007312484
17	577	DpigerAGORA	Dp	0.0008662326
18	577	DpigerAGORA	Dp	0.001065062
19	577	DpigerAGORA	Dp	0.001243824
20	577	DpigerAGORA	Dp	0.0002090749
21	577	DpigerAGORA	Dp	0.0001912105
22	577	DpigerAGORA	Dp	0.00017062
23	577	DpigerAGORA	Dp	0.000154709
24	577	DpigerAGORA	Dp	0.0001313668
25	577	DpigerAGORA	Dp	0.0001103269
26	577	DpigerAGORA	Dp	0.0002067168
27	577	DpigerAGORA	Dp	0.0001871592
28	577	DpigerAGORA	Dp	0.0001641579
29	577	DpigerAGORA	Dp	0.0001462835
30	577	DpigerAGORA	Dp	0.0001200357
31	577	DpigerAGORA	Dp	0.00009704508
32	577	DpigerAGORA	Dp	0.0002170375
33	577	DpigerAGORA	Dp	0.0002038506
34	577	DpigerAGORA	Dp	0.0001875565
35	577	DpigerAGORA	Dp	0.000174155
36	577	DpigerAGORA	Dp	0.0001534328
37	577	DpigerAGORA	Dp	0.000133672
38	577	DpigerAGORA	Dp	0.0001965952
39	577	DpigerAGORA	Dp	0.0001721557
40	577	DpigerAGORA	Dp	0.000146236
41	577	DpigerAGORA	Dp	0.0001276742
42	577	DpigerAGORA	Dp	0.0001023925
43	577	DpigerAGORA	Dp	0.00008134657
44	577	DpigerAGORA	Dp	0.0002040851
45	577	DpigerAGORA	Dp	0.0001850979
46	577	DpigerAGORA	Dp	0.0001642089
47	577	DpigerAGORA	Dp	0.00014857
48	577	DpigerAGORA	Dp	0.0001261166
49	577	DpigerAGORA	Dp	0.0001061424
50	577	DpigerAGORA	Dp	0.0002286476
51	577	DpigerAGORA	Dp	0.0002221924
52	577	DpigerAGORA	Dp	0.0002117438
53	577	DpigerAGORA	Dp	0.0002018813
54	577	DpigerAGORA	Dp	0.0001849527
55	577	DpigerAGORA	Dp	0.0001673004
56	577	DpigerAGORA	Dp	0.0002179358
57	577	DpigerAGORA	Dp	0.0002054581
58	577	DpigerAGORA	Dp	0.0001898161
59	577	DpigerAGORA	Dp	0.0001768581
60	577	DpigerAGORA	Dp	0.0001566621
61	577	DpigerAGORA	Dp	0.000137228
1	577	EcoliAGORA	Ec	0.03926024
2	577	EcoliAGORA	Ec	0.04108613
3	577	EcoliAGORA	Ec	0.04262152
4	577	EcoliAGORA	Ec	0.04442578
5	577	EcoliAGORA	Ec	0.04581028
6	577	EcoliAGORA	Ec	0.04762113
7	577	EcoliAGORA	Ec	0.04924838
8	577	EcoliAGORA	Ec	0.03872379
9	577	EcoliAGORA	Ec	0.03841742
10	577	EcoliAGORA	Ec	0.03813461
11	577	EcoliAGORA	Ec	0.03796112
12	577	EcoliAGORA	Ec	0.03776559
13	577	EcoliAGORA	Ec	0.03764314
14	577	EcoliAGORA	Ec	0.03906251
15	577	EcoliAGORA	Ec	0.03891555
16	577	EcoliAGORA	Ec	0.03874686
17	577	EcoliAGORA	Ec	0.03861484
18	577	EcoliAGORA	Ec	0.03841447
