ModelAGORA	Organism	CopyNum
Clostridium_scindens_ATCC_35704	Clostridium scindens ATCC 35704	6
Clostridium_sordellii_ATCC_9714	Clostridium sordellii ATCC 9714	0
Clostridium_sp_7_2_43FAA	Clostridium sp. 7_2_43FAA	4
Clostridium_sp_L2_50	Clostridium sp. L2-50	4
Clostridium_sp_M62_1	Clostridium sp M62/1	4
Clostridium_sp_SS2_1	Clostridium sp. SS2/1	8
Clostridium_sp_SY8519	Clostridium sp. SY8519	4
Clostridium_spiroforme_DSM_1552	Clostridium spiroforme DSM 1552	4
Clostridium_sporogenes_ATCC_15579	Clostridium sporogenes ATCC 15579	7
Clostridium_sporosphaeroides_DSM_1294	Clostridium sporosphaeroides DSM 1294	1
Clostridium_sticklandii_DSM_519	Clostridium sticklandii DSM 519	0
Clostridium_symbiosum_ATCC_14940	Clostridium symbiosum ATCC 14940	1
Clostridium_symbiosum_WAL_14163	Clostridium symbiosum WAL-14163	5
Clostridium_symbiosum_WAL_14673	Clostridium symbiosum WAL-14673	5
Clostridium_tyrobutyricum_DSM_2637	Clostridium tyrobutyricum DSM 2637 = ATCC 25755 = JCM 11008	1
Clostridium_viride_DSM_6836	Clostridium viride DSM 6836	2
Collinsella_aerofaciens_ATCC_25986	Collinsella aerofaciens ATCC 25986	6
Collinsella_intestinalis_DSM_13280	Collinsella intestinalis DSM 13280	2
Collinsella_stercoris_DSM_13279	Collinsella stercoris DSM 13279	1
Collinsella_tanakaei_YIT_12063	Collinsella tanakaei YIT 12063	3
Comamonas_testosteroni_CNB_2	Comamonas testosteroni CNB-2	3
Coprobacillus_sp_29_1	Coprobacillus sp. 29_1	2
Coprobacillus_sp_D7	Coprobacillus sp. D7	2
Coprococcus_catus_GD_7	Coprococcus catus GD/7	1
Coprococcus_comes_ATCC_27758	Coprococcus comes ATCC 27758	3
Coprococcus_eutactus_ATCC_27759	Coprococcus eutactus ATCC 27759	5
Corynebacterium_ammoniagenes_DSM_20306	Corynebacterium ammoniagenes DSM 20306	1
Corynebacterium_amycolatum_SK46	Corynebacterium amycolatum SK46	1
Corynebacterium_aurimucosum_ATCC_700975	Corynebacterium aurimucosum ATCC 700975	3
Corynebacterium_durum_F0235	Corynebacterium durum F0235	1
Corynebacterium_glucuronolyticum_ATCC_51867	Corynebacterium glucuronolyticum ATCC 51867	1
Corynebacterium_kroppenstedtii_DSM_44385	Corynebacterium kroppenstedtii DSM 44385	3
Corynebacterium_propinquum_DSM_44285	Corynebacterium propinquum DSM 44285	1
Corynebacterium_striatum_ATCC_6940	Corynebacterium striatum ATCC 6940	1
Corynebacterium_tuberculostearicum_SK141	Corynebacterium tuberculostearicum SK141	1
Corynebacterium_ulcerans_809	Corynebacterium ulcerans 809	4
Corynebacterium_ureicelerivorans	Corynebacterium ureicelerivorans	4
Cronobacter_sakazakii_ATCC_BAA_894	Cronobacter sakazakii ATCC BAA-894	7
Cryptobacterium_curtum_DSM_15641	Cryptobacterium curtum DSM 15641	3
Curtobacterium_flaccumfaciens_UCD_AKU	Curtobacterium flaccumfaciens UCD-AKU	1
Delftia_acidovorans_SPH_1	Delftia acidovorans SPH-1	5
Dermacoccus_nishinomiyaensis	Dermacoccus nishinomiyaensis	3
Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642	Desulfovibrio desulfuricans subsp. desulfuricans DSM 642	1
Desulfovibrio_piger_ATCC_29098	Desulfovibrio piger ATCC 29098	2
Desulfovibrio_sp_3_1_syn3	Desulfovibrio sp. 3_1_syn3	3
Dialister_invisus_DSM_15470	Dialister invisus DSM 15470	3
Dialister_succinatiphilus_YIT_11850	Dialister succinatiphilus YIT 11850	5
Dietzia_cinnamea_P4	Dietzia cinnamea P4	1
Dorea_formicigenerans_ATCC_27755	Dorea formicigenerans ATCC 27755	7
Dorea_longicatena_DSM_13814	Dorea longicatena DSM 13814	2
Dyadobacter_beijingensis_DSM_21582	Dyadobacter beijingensis DSM 21582	5
